SkillID|SkillType|SkillQuality|SkillLv|SkillName|SkillTime|SkillAtk|SkillRoll|SkillHitRate|SkillDex|SkillArmorPen|SkillCrit|UseLv|SkillDodge|SkillRoll|SkillAtk|SkillDef|SkillInfo
15|剑|蓝|超绝|三柴剑法·横贯|1|12|3|7|0|0|5|5|0|0|0|0|蓝色新手剑法，前中期过渡用。
16|剑|蓝|独步|三柴剑法·横贯|1|13|6|10|0|0|5|5|0|0|0|0|蓝色新手剑法，前中期过渡用。
17|剑|蓝|凡品|三柴剑法·岳渊|1|12|2|5|0|0|5|5|0|0|0|0|蓝色新手剑法，前中期过渡用。
18|剑|蓝|出类|三柴剑法·岳渊|1|13|2|6|0|0|5|5|0|0|0|0|蓝色新手剑法，前中期过渡用。
19|剑|蓝|超绝|三柴剑法·岳渊|1|14|2|7|0|0|5|5|0|0|0|0|蓝色新手剑法，前中期过渡用。
20|剑|蓝|独步|三柴剑法·岳渊|1|17|5|10|0|0|5|5|0|0|0|0|蓝色新手剑法，前中期过渡用。
21|剑|蓝|凡品|五岳剑法·奇峰|1|10|3|5|0|0|5|5|0|0|0|0|出手如山岳般气质磅渊，显剑之稳重。
22|剑|蓝|出类|五岳剑法·奇峰|1|11|3|6|0|0|5|5|0|0|0|0|出手如山岳般气质磅渊，显剑之稳重。
23|剑|蓝|超绝|五岳剑法·奇峰|1|12|3|7|0|0|5|5|0|0|0|0|出手如山岳般气质磅渊，显剑之稳重。
24|剑|蓝|独步|五岳剑法·奇峰|1|15|6|10|0|0|5|5|0|0|0|0|出手如山岳般气质磅渊，显剑之稳重。
25|剑|蓝|凡品|五岳剑法·险道|1|11|3|5|1|0|5|5|0|0|0|0|出手如山岳般气质磅渊，显剑之稳重。
26|剑|蓝|出类|五岳剑法·险道|1|12|3|6|2|0|5|5|0|0|0|0|出手如山岳般气质磅渊，显剑之稳重。
27|剑|蓝|超绝|五岳剑法·险道|1|13|3|7|3|0|5|5|0|0|0|0|出手如山岳般气质磅渊，显剑之稳重。
28|剑|蓝|独步|五岳剑法·险道|1|16|6|10|5|0|5|5|0|0|0|0|出手如山岳般气质磅渊，显剑之稳重。
29|剑|蓝|凡品|五岳剑法·峥嵘|1|12|2|5|0|0|5|5|0|0|0|0|出手如山岳般气质磅渊，显剑之稳重。
30|剑|蓝|出类|五岳剑法·峥嵘|1|13|2|6|0|0|5|5|0|0|0|0|出手如山岳般气质磅渊，显剑之稳重。
31|剑|蓝|超绝|五岳剑法·峥嵘|1|14|2|7|0|0|5|5|0|0|0|0|出手如山岳般气质磅渊，显剑之稳重。
32|剑|蓝|独步|五岳剑法·峥嵘|1|17|5|10|0|0|5|5|0|0|0|0|出手如山岳般气质磅渊，显剑之稳重。
33|剑|蓝|凡品|五岳剑法·通天|1|15|2|5|0|0|5|5|0|0|0|0|出手如山岳般气质磅渊，显剑之稳重。
34|剑|蓝|出类|五岳剑法·通天|1|16|2|6|0|0|5|5|0|0|0|0|出手如山岳般气质磅渊，显剑之稳重。
35|剑|蓝|超绝|五岳剑法·通天|1|17|2|7|0|0|5|5|0|0|0|0|出手如山岳般气质磅渊，显剑之稳重。
36|剑|蓝|独步|五岳剑法·通天|1|20|5|10|0|0|5|5|0|0|0|0|出手如山岳般气质磅渊，显剑之稳重。
37|剑|蓝|凡品|无心剑法·无情|1|12|3|5|0|0|5|5|0|0|0|0|无心剑客成名剑法，褪去杂念，万物可为剑。
38|剑|蓝|出类|无心剑法·无情|1|13|3|6|0|0|5|5|0|0|0|0|无心剑客成名剑法，褪去杂念，万物可为剑。
39|剑|蓝|超绝|无心剑法·无情|1|14|3|7|0|0|5|5|0|0|0|0|无心剑客成名剑法，褪去杂念，万物可为剑。
40|剑|蓝|独步|无心剑法·无情|1|17|6|10|0|0|5|5|0|0|0|0|无心剑客成名剑法，褪去杂念，万物可为剑。
41|剑|蓝|凡品|无心剑法·无念|1|12|3|5|0|0|5|5|0|0|0|0|无心剑客成名剑法，褪去杂念，万物可为剑。
42|剑|蓝|出类|无心剑法·无念|1|13|3|6|0|0|5|5|0|0|0|0|无心剑客成名剑法，褪去杂念，万物可为剑。
43|剑|蓝|超绝|无心剑法·无念|1|14|3|7|0|0|5|5|0|0|0|0|无心剑客成名剑法，褪去杂念，万物可为剑。
44|剑|蓝|独步|无心剑法·无念|1|17|6|10|0|0|5|5|0|0|0|0|无心剑客成名剑法，褪去杂念，万物可为剑。
45|剑|蓝|凡品|无心剑法·无惧|1|13|2|5|0|0|5|5|0|0|0|0|无心剑客成名剑法，褪去杂念，万物可为剑。
46|剑|蓝|出类|无心剑法·无惧|1|14|2|6|0|0|5|5|0|0|0|0|无心剑客成名剑法，褪去杂念，万物可为剑。
47|剑|蓝|超绝|无心剑法·无惧|1|15|2|7|0|0|5|5|0|0|0|0|无心剑客成名剑法，褪去杂念，万物可为剑。
48|剑|蓝|独步|无心剑法·无惧|1|18|5|10|0|0|5|5|0|0|0|0|无心剑客成名剑法，褪去杂念，万物可为剑。
49|剑|紫|凡品|太极剑法·点剑|1|11|5|5|1|0|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
50|剑|紫|出类|太极剑法·点剑|1|12|5|6|2|0|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
51|剑|紫|超绝|太极剑法·点剑|1|13|5|7|3|0|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
52|剑|紫|独步|太极剑法·点剑|1|16|6|10|5|0|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
53|剑|紫|凡品|太极剑法·刺剑|1|12|3|5|1|0|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
54|剑|紫|出类|太极剑法·刺剑|1|13|3|6|2|0|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
55|剑|紫|超绝|太极剑法·刺剑|1|14|3|7|3|0|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
56|剑|紫|独步|太极剑法·刺剑|1|17|6|10|5|0|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
57|剑|紫|凡品|太极剑法·崩剑|1|13|3|5|0|0|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
58|剑|紫|出类|太极剑法·崩剑|1|14|3|6|0|0|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
59|剑|紫|超绝|太极剑法·崩剑|1|15|3|7|0|0|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
60|剑|紫|独步|太极剑法·崩剑|1|18|6|10|0|0|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
61|剑|紫|凡品|太极剑法·穿剑|1|12|3|5|2|0|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
62|剑|紫|出类|太极剑法·穿剑|1|13|3|6|3|0|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
63|剑|紫|超绝|太极剑法·穿剑|1|14|3|7|4|0|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
64|剑|紫|独步|太极剑法·穿剑|1|17|6|10|5|0|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
65|剑|紫|凡品|太极剑法·斩剑|1|15|3|4|0|1|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
66|剑|紫|出类|太极剑法·斩剑|1|16|3|5|0|1|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
67|剑|紫|超绝|太极剑法·斩剑|1|17|3|6|0|1|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
68|剑|紫|独步|太极剑法·斩剑|1|20|6|9|0|1|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
69|剑|紫|凡品|太极剑法·削剑|1|14|3|5|0|0|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
70|剑|紫|出类|太极剑法·削剑|1|15|3|6|0|0|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
71|剑|紫|超绝|太极剑法·削剑|1|16|3|7|0|0|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
72|剑|紫|独步|太极剑法·削剑|1|19|6|10|0|0|5|10|0|0|0|0|相传出自青崖子的剑法，各特性均衡。
73|剑|紫|凡品|影流剑法·水引|1|10|4|6|2|0|5|10|0|0|0|0|流传自寇岛，相传最初为忍者所用，主快、准。
74|剑|紫|出类|影流剑法·水引|1|11|4|7|3|0|5|10|0|0|0|0|流传自寇岛，相传最初为忍者所用，主快、准。
75|剑|紫|超绝|影流剑法·水引|1|12|5|8|4|0|5|10|0|0|0|0|流传自寇岛，相传最初为忍者所用，主快、准。
76|剑|紫|独步|影流剑法·水引|1|15|8|11|5|0|5|10|0|0|0|0|流传自寇岛，相传最初为忍者所用，主快、准。
77|剑|紫|凡品|影流剑法·一闪|1|8|5|7|2|0|5|10|0|0|0|0|流传自寇岛，相传最初为忍者所用，主快、准。
78|剑|紫|出类|影流剑法·一闪|1|9|5|8|3|0|5|10|0|0|0|0|流传自寇岛，相传最初为忍者所用，主快、准。
79|剑|紫|超绝|影流剑法·一闪|1|10|6|9|4|0|5|10|0|0|0|0|流传自寇岛，相传最初为忍者所用，主快、准。
80|剑|紫|独步|影流剑法·一闪|1|13|9|12|5|0|5|10|0|0|0|0|流传自寇岛，相传最初为忍者所用，主快、准。
81|剑|紫|凡品|影流剑法·瞬斩|1|9|4|7|2|0|5|10|0|0|0|0|流传自寇岛，相传最初为忍者所用，主快、准。
82|剑|紫|出类|影流剑法·瞬斩|1|10|4|8|3|0|5|10|0|0|0|0|流传自寇岛，相传最初为忍者所用，主快、准。
83|剑|紫|超绝|影流剑法·瞬斩|1|11|5|9|4|0|5|10|0|0|0|0|流传自寇岛，相传最初为忍者所用，主快、准。
84|剑|紫|独步|影流剑法·瞬斩|1|14|8|12|5|0|5|10|0|0|0|0|流传自寇岛，相传最初为忍者所用，主快、准。
85|剑|紫|凡品|摧城剑法·步进|1|15|3|5|0|0|5|10|0|0|0|0|相传为唐代剑圣裴旻所创，主杀伐，大开大阖。
86|剑|紫|出类|摧城剑法·步进|1|16|3|6|0|0|5|10|0|0|0|0|相传为唐代剑圣裴旻所创，主杀伐，大开大阖。
87|剑|紫|超绝|摧城剑法·步进|1|17|3|7|0|0|5|10|0|0|0|0|相传为唐代剑圣裴旻所创，主杀伐，大开大阖。
88|剑|紫|独步|摧城剑法·步进|1|20|6|10|0|0|5|10|0|0|0|0|相传为唐代剑圣裴旻所创，主杀伐，大开大阖。
89|剑|紫|凡品|摧城剑法·退甲|1|16|3|5|0|1|5|10|0|0|0|0|相传为唐代剑圣裴旻所创，主杀伐，大开大阖。
90|剑|紫|出类|摧城剑法·退甲|1|17|3|6|0|1|5|10|0|0|0|0|相传为唐代剑圣裴旻所创，主杀伐，大开大阖。
91|剑|紫|超绝|摧城剑法·退甲|1|18|3|7|0|1|5|10|0|0|0|0|相传为唐代剑圣裴旻所创，主杀伐，大开大阖。
92|剑|紫|独步|摧城剑法·退甲|1|21|6|10|0|1|5|10|0|0|0|0|相传为唐代剑圣裴旻所创，主杀伐，大开大阖。
93|剑|紫|凡品|摧城剑法·折兵|1|17|3|5|0|1|5|10|0|0|0|0|相传为唐代剑圣裴旻所创，主杀伐，大开大阖。
94|剑|紫|出类|摧城剑法·折兵|1|18|3|6|0|1|5|10|0|0|0|0|相传为唐代剑圣裴旻所创，主杀伐，大开大阖。
95|剑|紫|超绝|摧城剑法·折兵|1|19|3|7|0|1|5|10|0|0|0|0|相传为唐代剑圣裴旻所创，主杀伐，大开大阖。
96|剑|紫|独步|摧城剑法·折兵|1|22|6|10|0|1|5|10|0|0|0|0|相传为唐代剑圣裴旻所创，主杀伐，大开大阖。
97|剑|紫|凡品|摧城剑法·破敌|1|18|3|5|0|2|5|10|0|0|0|0|相传为唐代剑圣裴旻所创，主杀伐，大开大阖。
98|剑|紫|出类|摧城剑法·破敌|1|19|3|6|0|2|5|10|0|0|0|0|相传为唐代剑圣裴旻所创，主杀伐，大开大阖。
99|剑|紫|超绝|摧城剑法·破敌|1|20|3|7|0|2|5|10|0|0|0|0|相传为唐代剑圣裴旻所创，主杀伐，大开大阖。
100|剑|紫|独步|摧城剑法·破敌|1|23|6|10|0|2|5|10|0|0|0|0|相传为唐代剑圣裴旻所创，主杀伐，大开大阖。
101|剑|紫|凡品|白猿剑法·揽月|1|12|5|5|2|0|5|10|0|0|0|0|相传为峨眉派开派祖师司徒玄空所创，灵动飘逸。
102|剑|紫|出类|白猿剑法·揽月|1|13|5|6|3|0|5|10|0|0|0|0|相传为峨眉派开派祖师司徒玄空所创，灵动飘逸。
103|剑|紫|超绝|白猿剑法·揽月|1|14|6|7|4|0|5|10|0|0|0|0|相传为峨眉派开派祖师司徒玄空所创，灵动飘逸。
104|剑|紫|独步|白猿剑法·揽月|1|17|9|10|5|0|5|10|0|0|0|0|相传为峨眉派开派祖师司徒玄空所创，灵动飘逸。
105|剑|紫|凡品|白猿剑法·力击|1|17|4|5|2|0|5|10|0|0|0|0|相传为峨眉派开派祖师司徒玄空所创，灵动飘逸。
106|剑|紫|出类|白猿剑法·力击|1|18|4|6|3|0|5|10|0|0|0|0|相传为峨眉派开派祖师司徒玄空所创，灵动飘逸。
107|剑|紫|超绝|白猿剑法·力击|1|19|5|7|4|0|5|10|0|0|0|0|相传为峨眉派开派祖师司徒玄空所创，灵动飘逸。
108|剑|紫|独步|白猿剑法·力击|1|22|8|10|5|0|5|10|0|0|0|0|相传为峨眉派开派祖师司徒玄空所创，灵动飘逸。
109|剑|紫|凡品|白猿剑法·游嘻|1|14|5|5|2|0|5|10|0|0|0|0|相传为峨眉派开派祖师司徒玄空所创，灵动飘逸。
110|剑|紫|出类|白猿剑法·游嘻|1|15|5|6|3|0|5|10|0|0|0|0|相传为峨眉派开派祖师司徒玄空所创，灵动飘逸。
111|剑|紫|超绝|白猿剑法·游嘻|1|16|6|7|4|0|5|10|0|0|0|0|相传为峨眉派开派祖师司徒玄空所创，灵动飘逸。
112|剑|紫|独步|白猿剑法·游嘻|1|19|9|10|5|0|5|10|0|0|0|0|相传为峨眉派开派祖师司徒玄空所创，灵动飘逸。
113|剑|金|凡品|太上无情剑·得情|1|20|4|5|3|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
114|剑|金|出类|太上无情剑·得情|1|21|5|6|4|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
115|剑|金|超绝|太上无情剑·得情|1|22|6|7|5|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
116|剑|金|独步|太上无情剑·得情|1|27|8|10|6|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
117|剑|金|凡品|太上无情剑·念情|1|22|4|5|3|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
118|剑|金|出类|太上无情剑·念情|1|23|5|6|4|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
119|剑|金|超绝|太上无情剑·念情|1|24|6|7|5|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
120|剑|金|独步|太上无情剑·念情|1|29|8|10|6|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
121|剑|金|凡品|太上无情剑·动情|1|23|4|5|3|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
122|剑|金|出类|太上无情剑·动情|1|24|5|6|4|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
123|剑|金|超绝|太上无情剑·动情|1|25|6|7|5|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
124|剑|金|独步|太上无情剑·动情|1|30|8|10|6|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
125|剑|金|凡品|太上无情剑·思情|1|24|4|5|3|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
126|剑|金|出类|太上无情剑·思情|1|25|5|6|4|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
127|剑|金|超绝|太上无情剑·思情|1|26|6|7|5|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
128|剑|金|独步|太上无情剑·思情|1|31|8|10|6|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
129|剑|金|凡品|太上无情剑·斩情|1|25|5|5|3|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
130|剑|金|出类|太上无情剑·斩情|1|26|6|6|4|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
131|剑|金|超绝|太上无情剑·斩情|1|27|7|7|5|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
132|剑|金|独步|太上无情剑·斩情|1|32|9|10|6|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
133|剑|金|凡品|太上无情剑·惜情|1|26|4|5|3|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
134|剑|金|出类|太上无情剑·惜情|1|27|5|6|4|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
135|剑|金|超绝|太上无情剑·惜情|1|28|6|7|5|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
136|剑|金|独步|太上无情剑·惜情|1|33|8|10|6|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
137|剑|金|凡品|太上无情剑·无情|1|27|5|5|3|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
138|剑|金|出类|太上无情剑·无情|1|28|6|6|4|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
139|剑|金|超绝|太上无情剑·无情|1|29|7|7|5|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
140|剑|金|独步|太上无情剑·无情|1|34|9|10|6|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
141|剑|金|凡品|太上无情剑·忘情|1|28|6|5|3|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
142|剑|金|出类|太上无情剑·忘情|1|29|7|6|4|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
143|剑|金|超绝|太上无情剑·忘情|1|30|8|7|5|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
144|剑|金|独步|太上无情剑·忘情|1|35|10|10|6|0|5|20|0|0|0|0|相传为太上老君授予吕洞宾，人间难觅，至真至胜之剑。
145|剑|金|凡品|逍遥剑法·不得意|1|21|4|5|3|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
146|剑|金|出类|逍遥剑法·不得意|1|22|5|6|4|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
147|剑|金|超绝|逍遥剑法·不得意|1|23|6|7|5|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
148|剑|金|独步|逍遥剑法·不得意|1|28|8|10|6|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
149|剑|金|凡品|逍遥剑法·忘归家|1|22|4|5|3|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
150|剑|金|出类|逍遥剑法·忘归家|1|23|5|6|4|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
151|剑|金|超绝|逍遥剑法·忘归家|1|24|6|7|5|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
152|剑|金|独步|逍遥剑法·忘归家|1|29|8|10|6|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
153|剑|金|凡品|逍遥剑法·醉生死|1|23|5|5|3|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
154|剑|金|出类|逍遥剑法·醉生死|1|24|6|6|4|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
155|剑|金|超绝|逍遥剑法·醉生死|1|25|7|7|5|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
156|剑|金|独步|逍遥剑法·醉生死|1|30|9|10|6|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
157|剑|金|凡品|逍遥剑法·梦虚实|1|24|4|5|3|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
158|剑|金|出类|逍遥剑法·梦虚实|1|25|5|6|4|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
159|剑|金|超绝|逍遥剑法·梦虚实|1|26|6|7|5|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
160|剑|金|独步|逍遥剑法·梦虚实|1|31|8|10|6|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
161|剑|金|凡品|逍遥剑法·勘大道|1|25|5|5|3|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
162|剑|金|出类|逍遥剑法·勘大道|1|26|6|6|4|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
163|剑|金|超绝|逍遥剑法·勘大道|1|27|7|7|5|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
164|剑|金|独步|逍遥剑法·勘大道|1|32|9|10|6|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
165|剑|金|凡品|逍遥剑法·证逍遥|1|26|6|5|3|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
166|剑|金|出类|逍遥剑法·证逍遥|1|27|7|6|4|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
167|剑|金|超绝|逍遥剑法·证逍遥|1|28|8|7|5|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
168|剑|金|独步|逍遥剑法·证逍遥|1|33|10|10|6|0|5|20|0|0|0|0|逍遥客自创剑法，无招无路，浑然自成。
169|刀|白|凡品|基础刀法|1|10|2|4|0|2|5|1|0|0|0|0|基础刀法
170|刀|白|出类|基础刀法|1|11|2|5|0|2|5|1|0|0|0|0|基础刀法
171|刀|白|超绝|基础刀法|1|12|2|6|0|2|5|1|0|0|0|0|基础刀法
172|刀|白|独步|基础刀法|1|15|5|9|0|4|5|1|0|0|0|0|基础刀法
173|刀|蓝|凡品|八荒刀法·斩棘|1|10|2|4|0|2|5|5|0|0|0|0|颠覆六合，破开八荒的刀法
174|刀|蓝|出类|八荒刀法·斩棘|1|11|2|5|0|2|5|5|0|0|0|0|颠覆六合，破开八荒的刀法
175|刀|蓝|超绝|八荒刀法·斩棘|1|12|2|6|0|2|5|5|0|0|0|0|颠覆六合，破开八荒的刀法
176|刀|蓝|独步|八荒刀法·斩棘|1|15|5|9|0|4|5|5|0|0|0|0|颠覆六合，破开八荒的刀法
177|刀|蓝|凡品|八荒刀法·力敌|1|11|2|4|0|2|5|5|0|0|0|0|颠覆六合，破开八荒的刀法
178|刀|蓝|出类|八荒刀法·力敌|1|12|2|5|0|2|5|5|0|0|0|0|颠覆六合，破开八荒的刀法
179|刀|蓝|超绝|八荒刀法·力敌|1|13|2|6|0|2|5|5|0|0|0|0|颠覆六合，破开八荒的刀法
180|刀|蓝|独步|八荒刀法·力敌|1|16|5|9|0|4|5|5|0|0|0|0|颠覆六合，破开八荒的刀法
181|刀|蓝|凡品|八荒刀法·成天|1|12|2|4|0|2|5|5|0|0|0|0|颠覆六合，破开八荒的刀法
182|刀|蓝|出类|八荒刀法·成天|1|13|2|5|0|2|5|5|0|0|0|0|颠覆六合，破开八荒的刀法
183|刀|蓝|超绝|八荒刀法·成天|1|14|2|6|0|2|5|5|0|0|0|0|颠覆六合，破开八荒的刀法
184|刀|蓝|独步|八荒刀法·成天|1|17|5|9|0|4|5|5|0|0|0|0|颠覆六合，破开八荒的刀法
185|刀|蓝|凡品|梅花刀法·寒梅|1|15|2|4|0|2|5|5|0|0|0|0|梅中悟出的刀法，机敏却不失凌厉。
186|刀|蓝|出类|梅花刀法·寒梅|1|16|2|5|0|2|5|5|0|0|0|0|梅中悟出的刀法，机敏却不失凌厉。
187|刀|蓝|超绝|梅花刀法·寒梅|1|17|2|6|0|2|5|5|0|0|0|0|梅中悟出的刀法，机敏却不失凌厉。
188|刀|蓝|独步|梅花刀法·寒梅|1|20|5|9|0|4|5|5|0|0|0|0|梅中悟出的刀法，机敏却不失凌厉。
189|刀|蓝|凡品|梅花刀法·腊梅|1|16|2|4|0|2|5|5|0|0|0|0|梅中悟出的刀法，机敏却不失凌厉。
190|刀|蓝|出类|梅花刀法·腊梅|1|17|2|5|0|2|5|5|0|0|0|0|梅中悟出的刀法，机敏却不失凌厉。
191|刀|蓝|超绝|梅花刀法·腊梅|1|18|2|6|0|2|5|5|0|0|0|0|梅中悟出的刀法，机敏却不失凌厉。
192|刀|蓝|独步|梅花刀法·腊梅|1|21|5|9|0|4|5|5|0|0|0|0|梅中悟出的刀法，机敏却不失凌厉。
193|刀|蓝|凡品|梅花刀法·墨梅|1|17|2|4|0|2|5|5|0|0|0|0|梅中悟出的刀法，机敏却不失凌厉。
194|刀|蓝|出类|梅花刀法·墨梅|1|18|2|5|0|2|5|5|0|0|0|0|梅中悟出的刀法，机敏却不失凌厉。
